sale_date,company_std,brand,model,production_year_clean,country_code,fuel_code,engine_volume_clean,transmission_std,drive_type_std,region_clean,area_clean,quantity,price_usd,sale_amount_usd,segment_2013,class_2013
2019-05-31,Меркур Авто,Audi,A3,2018.0,DEU,F,1.4,Автомат,FWD,Алматы,Алматы,1.0,28115.0,28115.0,Легковые автомобили,C класс
2019-08-31,Меркур Авто,Audi,A3,2018.0,DEU,F,1.4,Автомат,FWD,Алматы,Алматы,1.0,32246.99,32246.99,Легковые автомобили,C класс
2019-04-30,Меркур Авто,Audi,A4,2018.0,DEU,F,1.4,Автомат,FWD,Алматы,Алматы,1.0,32000.0,32000.0,Легковые автомобили,D класс
2019-07-31,Меркур Авто,Audi,A4,2018.0,DEU,F,1.4,Автомат,FWD,Алматы,Алматы,1.0,31929.0,31929.0,Легковые автомобили,D класс
2019-02-28,Меркур Авто,Audi,A6,2017.0,DEU,F,2.0,Автомат,OTHER,Нур-султан,Нур-султан,1.0,42608.25485,42608.25485,Легковые автомобили,E класс
2019-05-31,Меркур Авто,Audi,A6,2019.0,DEU,F,3.0,Автомат,OTHER,Алматы,Алматы,1.0,82344.0,82344.0,Легковые автомобили,E класс
2019-06-30,Меркур Авто,Audi,A6,2019.0,DEU,F,3.0,Автомат,OTHER,Алматы,Алматы,1.0,78940.0,78940.0,Легковые автомобили,E класс
2019-06-30,Меркур Авто,Audi,A6,2017.0,DEU,F,3.0,Автомат,OTHER,Алматы,Алматы,1.0,64474.0,64474.0,Легковые автомобили,E класс
2019-07-31,Меркур Авто,Audi,A6,2019.0,DEU,F,3.0,Автомат,OTHER,Алматы,Алматы,1.0,84329.0,84329.0,Легковые автомобили,E класс
2019-08-31,Меркур Авто,Audi,A6,2019.0,DEU,F,3.0,Автомат,OTHER,Нур-султан,Нур-султан,1.0,88028.62533,88028.62533,Легковые автомобили,E класс
2019-08-31,Меркур Авто,Audi,A6,2019.0,DEU,F,3.0,Автомат,OTHER,Алматы,Алматы,1.0,88028.62533,88028.62533,Легковые автомобили,E класс
2019-09-30,Меркур Авто,Audi,A7,2018.0,DEU,F,3.0,Автомат,OTHER,Алматы,Алматы,1.0,91600.0,91600.0,Легковые автомобили,E класс
2019-09-30,Меркур Авто,Audi,A7,2018.0,DEU,F,3.0,Автомат,OTHER,Алматы,Алматы,1.0,79500.0,79500.0,Легковые автомобили,E класс
2019-01-31,Меркур Авто,Audi,A8,2018.0,DEU,F,3.0,Автомат,OTHER,Алматы,Алматы,1.0,129935.2075,129935.2075,Легковые автомобили,F класс
2019-07-31,Меркур Авто,Audi,A8,2018.0,DEU,F,3.0,Автомат,OTHER,Алматы,Алматы,1.0,91132.0,91132.0,Легковые автомобили,F класс
2019-09-30,Меркур Авто,Audi,A8,2018.0,DEU,F,3.0,Автомат,OTHER,Алматы,Алматы,1.0,121300.0,121300.0,Легковые автомобили,F класс
2019-09-30,Меркур Авто,Audi,A8,2018.0,DEU,F,3.0,Автомат,OTHER,Алматы,Алматы,1.0,124300.0,124300.0,Легковые автомобили,F класс
2019-01-31,Меркур Авто,Audi,Q5,2017.0,DEU,F,2.0,Автомат,OTHER,Алматы,Алматы,1.0,47835.59084,47835.59084,Внедорожники,Среднеразмерные SUV
2019-02-28,Меркур Авто,Audi,Q5,2017.0,DEU,F,2.0,Автомат,OTHER,Алматы,Алматы,1.0,49296.33248,49296.33248,Внедорожники,Среднеразмерные SUV
2019-03-31,Меркур Авто,Audi,Q5,2017.0,DEU,F,2.0,Автомат,OTHER,Нур-султан,Нур-султан,1.0,49100.0,49100.0,Внедорожники,Среднеразмерные SUV
2019-03-31,Меркур Авто,Audi,Q5,2017.0,DEU,F,2.0,Автомат,OTHER,Алматы,Алматы,1.0,56563.0,56563.0,Внедорожники,Среднеразмерные SUV
2019-03-31,Меркур Авто,Audi,Q5,2017.0,DEU,F,2.0,Автомат,OTHER,Алматы,Алматы,1.0,56250.0,56250.0,Внедорожники,Среднеразмерные SUV
2019-03-31,Меркур Авто,Audi,Q5,2017.0,DEU,F,2.0,Автомат,OTHER,Алматы,Алматы,1.0,56719.0,56719.0,Внедорожники,Среднеразмерные SUV
2019-03-31,Меркур Авто,Audi,Q5,2017.0,DEU,F,2.0,Автомат,OTHER,Алматы,Алматы,1.0,58750.0,58750.0,Внедорожники,Среднеразмерные SUV
2019-08-31,Меркур Авто,Audi,Q5,2017.0,DEU,F,2.0,Автомат,OTHER,Нур-султан,Нур-султан,1.0,58723.466,58723.466,Внедорожники,Среднеразмерные SUV
2019-03-31,Меркур Авто,Audi,Q7,2017.0,DEU,F,3.0,Автомат,OTHER,Алматы,Алматы,1.0,88750.0,88750.0,Внедорожники,Полноразмерные SUV
